date,ALLSKY_SFC_SW_DWN,T2M,RH2M,ALLSKY_KT
2023-01-01,2.6568,25.94,87.54,0.3
2023-01-02,1.8629,26.76,81.19,0.21
2023-01-03,4.187,26.92,83.48,0.47
2023-01-04,3.57,26.71,83.8,0.4
2023-01-05,4.0519,26.54,82.61,0.45
2023-01-06,5.5541,26.72,84.26,0.62
2023-01-07,2.9047,25.91,85.05,0.32
2023-01-08,2.6366,25.24,88.26,0.29
2023-01-09,3.5652,26.01,87.48,0.39
2023-01-10,3.355,26.58,81.56,0.37
2023-01-11,4.3188,26.02,84.47,0.48
2023-01-12,3.9103,26.29,83.06,0.43
2023-01-13,4.458,27.91,77.84,0.49
2023-01-14,2.8627,26.85,86.52,0.31
2023-01-15,4.3855,27.46,80.48,0.48
2023-01-16,4.4616,27.87,77.2,0.49
2023-01-17,3.7128,27.81,79.51,0.4
2023-01-18,4.7666,27.62,78.46,0.52
2023-01-19,4.7198,26.86,83.18,0.51
2023-01-20,4.6678,26.52,84.21,0.5
2023-01-21,3.2186,26.82,81.92,0.35
2023-01-22,2.1305,25.9,81.59,0.23
2023-01-23,2.4557,25.76,89.26,0.26
2023-01-24,3.5645,26.97,84.46,0.38
2023-01-25,2.394,25.77,87.31,0.26
2023-01-26,4.187,26.83,89.3,0.45
2023-01-27,4.7165,27.35,83.73,0.5
2023-01-28,5.4338,27.03,80.51,0.58
2023-01-29,1.285,25.97,93.0,0.14
2023-01-30,3.0576,26.76,88.04,0.32
2023-01-31,4.5192,27.69,80.11,0.48
2023-02-01,4.4906,27.64,78.35,0.47
2023-02-02,4.9241,27.07,84.34,0.52
2023-02-03,5.2975,26.39,83.16,0.55
2023-02-04,4.2502,26.66,84.47,0.44
2023-02-05,5.0734,27.15,75.47,0.53
2023-02-06,5.5075,26.71,80.42,0.57
2023-02-07,4.3058,27.25,78.98,0.45
2023-02-08,4.1386,26.95,80.76,0.43
2023-02-09,4.1616,26.61,84.92,0.43
2023-02-10,5.1362,26.93,83.68,0.53
2023-02-11,5.2848,26.72,80.08,0.54
2023-02-12,4.6428,26.59,84.81,0.48
2023-02-13,3.7284,26.26,91.89,0.38
2023-02-14,2.257,25.92,89.02,0.23
2023-02-15,4.3548,25.84,81.94,0.44
2023-02-16,4.3786,26.95,81.02,0.44
2023-02-17,1.5228,25.67,88.42,0.15
