household_id,household_size,average_monthly_consumption_kwh,has_aircon,has_water_heater
1,4,485.69118502831185,1,1
2,5,430.14053466610176,1,0
3,3,362.77661618579106,1,0
4,5,450.57443332247254,1,0
5,5,510.7553927286707,1,1
6,2,194.6361685461322,0,1
7,3,404.1304432936023,1,0
8,3,344.27288624818107,1,0
9,3,371.5927382644455,1,0
10,5,491.20181126386507,1,1
11,4,371.30690869545975,1,0
12,3,364.1721883364113,1,0
13,5,494.52348085607895,1,0
14,2,110.6684004635698,0,0
15,4,390.60825908430536,1,0
16,2,379.9787421627006,1,1
17,4,162.48776798090847,0,0
18,5,468.135459790661,1,0
19,1,276.46999186970226,1,0
20,4,466.4372900150076,1,1
21,2,285.89873556721494,1,0
22,5,337.97634688956146,0,1
23,4,186.89840791878214,0,0
24,1,48.01602156122533,0,0
25,1,312.99165367499546,1,0
26,3,142.5892289776201,0,0
27,3,139.24979543936334,0,0
28,2,160.57374583094523,0,1
29,4,422.3257591449981,1,0
30,4,394.5632748034569,1,0
31,3,130.51880885035723,0,0
32,4,319.63912096819035,0,1
33,4,522.5880901354092,1,1
34,1,231.98729302783886,1,0
35,3,174.00380145918152,0,1
36,5,480.22541069510766,1,0
37,3,129.46110522719988,0,0
38,5,353.71876797488306,0,1
39,1,270.89688546864494,1,1
40,2,326.77792014897926,1,0
41,4,363.66484212157656,1,0
42,1,71.92292357199574,0,0
43,4,480.42819203509305,1,1
44,2,271.38181741810064,1,0
45,2,87.78891061219659,0,0
46,1,270.58955370870103,1,0
47,2,103.17683359345703,0,0
48,5,467.53238941417453,1,0
49,2,239.29321753546458,0,1
50,4,353.0727516486685,1,0
51,4,248.51637724905873,0,0
52,4,403.13067812569636,1,0
53,4,453.03647855030613,1,1
54,5,410.0905912278303,1,0
55,3,144.326388276689,0,0
56,1,357.6495033577338,1,1
57,4,276.17352638867396,0,1
58,2,425.33464790742045,1,1
59,4,236.46472929845322,0,1
60,2,99.63733156461836,0,0
61,2,142.42819666760641,0,1
62,4,410.908956478749,1,0
63,5,556.606621702919,1,1
64,2,167.3771461895684,0,1
65,2,301.873584301186,1,1
66,4,405.96844440389486,1,0
67,2,313.1021565520053,1,0
68,2,312.12884264885093,1,0
69,4,517.0734657546647,1,1
70,4,447.86838961052854,1,1
71,1,70.40648316351349,0,0
72,5,285.77522537433924,0,0
73,5,396.6423724798045,1,0
74,2,389.58955477756933,1,1
75,5,314.87460506976987,0,1
76,2,97.55431980695062,0,0
77,1,260.43029450615006,1,0
78,4,465.38314307659346,1,1
79,4,259.7287576251517,0,1
80,4,201.02457252464075,0,0
81,5,417.3826218341159,1,0
82,1,217.42524613344443,1,0
83,5,270.3811984886951,0,0
84,5,215.53617894524032,0,0
85,1,69.98937502727635,0,0
86,1,343.87773878561853,1,1
87,1,-1.7742018637178987,0,0
88,1,109.67306042993035,0,1
89,4,435.82328209142116,1,0
90,3,120.56503406580956,0,0
91,3,336.06787213071834,1,0
92,1,63.861826797556894,0,0
93,3,253.50171527847786,0,1
94,3,222.45383341866514,0,1
95,1,232.07469415925075,1,0
96,3,392.6710958509552,1,0
97,5,582.1669899139274,1,1
98,2,129.36574152345386,0,0
99,2,302.5595442769507,1,0
100,1,105.7520283507722,0,1
101,4,175.08666780330304,0,0
102,1,265.6754231579727,1,0
103,4,212.5519466266605,0,0
104,2,222.0479577883929,0,1
105,1,69.51350277608418,0,0
106,5,204.90759094720545,0,0
107,3,261.5584285316876,0,1
108,4,370.0581811805676,1,0
109,3,418.48086184142943,1,1
110,3,357.50600618755084,1,0
111,1,389.8700246935189,1,1
112,3,243.29755668016082,0,0
113,5,268.2016917740855,0,0
114,3,144.50410143838837,0,0
115,1,266.0351694544165,1,0
116,5,356.62966277621507,0,1
117,2,370.37997123328427,1,1
118,3,403.85634067736964,1,0
119,1,256.90212277574204,1,0
120,2,394.9322926727418,1,1
121,2,199.97772756163386,0,1
122,4,412.64759831843367,1,0
123,5,475.1682150140884,1,0
124,3,131.4824044035923,0,0
125,1,233.25094738161908,1,0
126,4,366.99537301084916,1,0
127,5,463.1850369186068,1,0
128,4,423.3680951053634,1,0
129,5,543.7331859845566,1,1
130,5,300.2347730004261,0,0
131,3,149.8321194351286,0,0
132,5,470.0622496677754,1,0
133,4,367.24897371582057,1,0
134,5,238.38700892576796,0,0
135,3,170.86613272697332,0,0
136,3,375.4730633222943,1,0
137,4,391.1809915700745,1,0
138,2,297.852022444258,1,0
139,2,54.46378759957572,0,0
140,5,319.2891239758017,0,1
141,1,76.71149490559358,0,0
142,5,547.256150483197,1,1
143,4,215.01997164143629,0,0
144,4,401.4932106154288,1,0
145,4,200.2118947588453,0,0
146,4,380.1903658157966,1,0
147,4,500.964852606076,1,1
148,3,442.6291883316817,1,1
149,2,194.760565439784,0,1
150,4,184.2189547199726,0,0
151,1,-14.600287596137335,0,0
152,1,282.91458135261087,1,0
153,1,235.6348763197479,1,0
154,1,224.1167270787064,1,0
155,3,370.80436735741984,1,0
156,1,238.23962080242612,1,0
157,4,231.79809152139865,0,0
158,5,548.5101784873009,1,1
159,1,350.50707969601433,1,1
160,3,189.02132866398398,0,1
161,3,386.358319561592,1,0
162,1,57.83751593701568,0,0
163,5,238.9216858226139,0,0
164,1,334.3016540202675,1,1
165,3,96.71294301305039,0,0
166,2,312.25958434442015,1,0
167,4,249.11885475453786,0,1
168,3,109.41989142469396,0,0
169,1,4.329224413463265,0,0
170,4,233.38065124969776,0,0
171,1,231.12209818921633,1,0
172,1,96.01183129749498,0,0
173,2,283.9259561084311,1,0
174,4,348.7792612722116,1,0
175,4,366.5042668015402,1,0
176,2,417.07434860020817,1,1
177,3,345.32305466189996,1,0
178,1,33.551381105281976,0,0
179,5,254.80054677558363,0,0
180,1,145.05348208502636,0,1
181,1,283.5219644770738,1,0
182,3,193.4549768967878,0,0
